STATE/UT,AREA(KM/SQUARE)
Andaman and Nicobar Islands,8249
Andhra Pradesh,162975
Arunachal Pradesh,83743
Assam,78348
Bihar,94163
Chandigarh,114
Chhattisgarh,135192
Delhi,1484
Goa,3702
Gujarat,196024
Haryana,44212
Himachal Pradesh,55673
Jammu and Kashmir,42241
Jharkand,79716
Karnataka,191791
Kerala,38863
Madhya Pradesh,308252
Maharashtra,307713
Manipur,22327
Meghalaya,22429
Mizoram,21081
Nagaland,16579
Odisha,155707
Puducherry,479
Punjab,50362
Rajasthan,342239
Sikkim,7096
Tamil Nadu,130058
Tripura,10491
Uttar Pradesh,240928
Uttarakhand,53483
West Bengal,90000
